row_id,severity,reason_code,detector,message,evidence,recommended_action,anomaly_score,country,region,category,time_period,total
27,medium,YEAR_OVER_YEAR_SHIFT,statistical_process_control,Total changed materially from the comparable prior-year period.,"total=1,285.00; prior_year=250.00; change=414.0%",Confirm whether the shift reflects approved financing activity or a data issue.,0.5175,Kenya,EASTERN AND SOUTHERN AFRICA,Commitments,2026-Q3,1285.0
2016,medium,YEAR_OVER_YEAR_SHIFT,statistical_process_control,Total changed materially from the comparable prior-year period.,total=241.00; prior_year=47.00; change=412.8%,Confirm whether the shift reflects approved financing activity or a data issue.,0.5159574468085106,Central African Republic,WESTERN AND CENTRAL AFRICA,Commitments,FY21,241.0
2165,medium,YEAR_OVER_YEAR_SHIFT,statistical_process_control,Total changed materially from the comparable prior-year period.,total=765.00; prior_year=150.00; change=410.0%,Confirm whether the shift reflects approved financing activity or a data issue.,0.5125,Uganda,AFRICA EAST,Commitments,FY20,765.0
3280,medium,YEAR_OVER_YEAR_SHIFT,statistical_process_control,Total changed materially from the comparable prior-year period.,total=525.00; prior_year=104.00; change=404.8%,Confirm whether the shift reflects approved financing activity or a data issue.,0.5060096153846154,Mozambique,AFRICA,Commitments,FY18,525.0
656,medium,YEAR_OVER_YEAR_SHIFT,statistical_process_control,Total changed materially from the comparable prior-year period.,total=190.00; prior_year=38.00; change=400.0%,Confirm whether the shift reflects approved financing activity or a data issue.,0.5,"Gambia, The",WESTERN AND CENTRAL AFRICA,Commitments,FY22,190.0
3053,medium,YEAR_OVER_YEAR_SHIFT,statistical_process_control,Total changed materially from the comparable prior-year period.,total=399.00; prior_year=80.00; change=398.8%,Confirm whether the shift reflects approved financing activity or a data issue.,0.4984375,Vietnam,EAST ASIA AND PACIFIC,Commitments,FY19,399.0
1646,medium,YEAR_OVER_YEAR_SHIFT,statistical_process_control,Total changed materially from the comparable prior-year period.,total=259.00; prior_year=52.00; change=398.1%,Confirm whether the shift reflects approved financing activity or a data issue.,0.49759615384615385,South Sudan,EASTERN AND SOUTHERN AFRICA,Gross Disbursements,FY25,259.0
852,medium,YEAR_OVER_YEAR_SHIFT,statistical_process_control,Total changed materially from the comparable prior-year period.,total=353.00; prior_year=77.00; change=358.4%,Confirm whether the shift reflects approved financing activity or a data issue.,0.44805194805194803,Zambia,AFRICA,Commitments,FY17,353.0
414,medium,YEAR_OVER_YEAR_SHIFT,statistical_process_control,Total changed materially from the comparable prior-year period.,total=647.00; prior_year=143.00; change=352.4%,Confirm whether the shift reflects approved financing activity or a data issue.,0.4405594405594406,Mali,WESTERN AND CENTRAL AFRICA,Commitments,FY23,647.0
624,medium,YEAR_OVER_YEAR_SHIFT,statistical_process_control,Total changed materially from the comparable prior-year period.,total=202.00; prior_year=45.00; change=348.9%,Confirm whether the shift reflects approved financing activity or a data issue.,0.4361111111111111,Djibouti,MIDDLE EAST AND NORTH AFRICA,Commitments,FY22,202.0
2388,medium,YEAR_OVER_YEAR_SHIFT,statistical_process_control,Total changed materially from the comparable prior-year period.,total=184.00; prior_year=42.00; change=338.1%,Confirm whether the shift reflects approved financing activity or a data issue.,0.4226190476190476,Liberia,AFRICA,Gross Disbursements,FY15,184.0
652,medium,YEAR_OVER_YEAR_SHIFT,statistical_process_control,Total changed materially from the comparable prior-year period.,total=813.00; prior_year=190.00; change=327.9%,Confirm whether the shift reflects approved financing activity or a data issue.,0.4098684210526316,Chad,WESTERN AND CENTRAL AFRICA,Commitments,FY22,813.0
814,medium,YEAR_OVER_YEAR_SHIFT,statistical_process_control,Total changed materially from the comparable prior-year period.,total=323.00; prior_year=76.00; change=325.0%,Confirm whether the shift reflects approved financing activity or a data issue.,0.40625,Uzbekistan,EUROPE AND CENTRAL ASIA,Commitments,FY17,323.0
845,medium,YEAR_OVER_YEAR_SHIFT,statistical_process_control,Total changed materially from the comparable prior-year period.,total=212.00; prior_year=50.00; change=324.0%,Confirm whether the shift reflects approved financing activity or a data issue.,0.405,Chad,AFRICA,Commitments,FY17,212.0
2173,medium,YEAR_OVER_YEAR_SHIFT,statistical_process_control,Total changed materially from the comparable prior-year period.,total=630.00; prior_year=150.00; change=320.0%,Confirm whether the shift reflects approved financing activity or a data issue.,0.4,Cameroon,AFRICA WEST,Commitments,FY20,630.0
596,medium,YEAR_OVER_YEAR_SHIFT,statistical_process_control,Total changed materially from the comparable prior-year period.,total=189.00; prior_year=45.00; change=320.0%,Confirm whether the shift reflects approved financing activity or a data issue.,0.4,Moldova,EUROPE AND CENTRAL ASIA,Commitments,FY22,189.0
821,medium,YEAR_OVER_YEAR_SHIFT,statistical_process_control,Total changed materially from the comparable prior-year period.,total=630.00; prior_year=150.00; change=320.0%,Confirm whether the shift reflects approved financing activity or a data issue.,0.4,Senegal,AFRICA,Commitments,FY17,630.0
1721,medium,YEAR_OVER_YEAR_SHIFT,statistical_process_control,Total changed materially from the comparable prior-year period.,total=621.00; prior_year=149.00; change=316.8%,Confirm whether the shift reflects approved financing activity or a data issue.,0.3959731543624161,Niger,WESTERN AND CENTRAL AFRICA,Gross Disbursements,FY25,621.0
